cell,lon,lat,FG
382252,-17.125,23.625,1
311856,23.875,35.875,1
107386,26.375,71.375,1
298841,10.125,38.125,1
319019,14.625,34.625,1
282922,-9.625,40.875,1
265668,-3.125,43.875,1
300241,0.125,37.875,1
297421,15.125,38.375,1
310294,-6.625,36.125,1
297321,-9.875,38.375,1
173483,-9.375,59.875,1
149041,0.125,64.125,1
231076,-11.125,49.875,1
284515,28.625,40.625,1
297320,-10.125,38.375,1
182180,4.875,58.375,1
284362,-9.625,40.625,1
131815,13.625,67.125,1
164847,-8.375,61.375,1
305997,-0.875,36.875,1
261351,-2.375,44.625,1
298844,10.875,38.125,1
156161,-19.875,62.875,1
354901,-14.875,28.375,1
156260,4.875,62.875,1
241165,-8.875,48.125,1
138910,-12.625,65.875,1
154723,-19.375,63.125,1
304658,24.375,37.125,1
148939,-25.375,64.125,1
137472,-12.125,66.125,1
295987,16.625,38.625,1
172051,-7.375,60.125,1
281531,2.625,41.125,1
352028,-13.125,28.875,1
360659,-15.375,27.375,1
153386,6.375,63.375,1
317576,13.875,34.875,1
297441,20.125,38.375,1
298838,9.375,38.125,1
172046,-8.625,60.125,1
268519,-10.375,43.375,1
300322,20.375,37.875,1
295974,13.375,38.625,1
356337,-15.875,28.125,1
149071,7.625,64.125,1
265666,-3.625,43.875,1
136126,11.375,66.375,1
268593,8.125,43.375,1
239722,-9.625,48.375,1
291700,24.875,39.375,1
277239,9.625,41.875,1
304559,-0.375,37.125,1
157599,-20.375,62.625,1
180736,3.875,58.625,1
114552,17.875,70.125,1
206592,-12.125,54.125,1
300202,-9.625,37.875,1
238280,-10.125,48.625,1
298803,0.625,38.125,1
291615,3.625,39.375,1
320372,-7.125,34.375,1
108838,29.375,71.125,1
393768,-18.125,21.625,1
147553,-11.875,64.375,1
148935,-26.375,64.125,1
311894,33.375,35.875,1
173480,-10.125,59.875,1
311893,33.125,35.875,1
206586,-13.625,54.125,1
148990,-12.625,64.125,1
236838,-10.625,48.875,1
301782,25.375,37.625,1
304554,-1.625,37.125,1
295933,3.125,38.625,1
264204,-9.125,44.125,1
319025,16.125,34.625,1
176415,3.625,59.375,1
170603,-9.375,60.375,1
172157,19.125,60.125,1
281561,10.125,41.125,1
258468,-3.125,45.125,1
146053,-26.875,64.625,1
295879,-10.375,38.625,1
265714,8.375,43.875,1
310428,26.875,36.125,1
304557,-0.875,37.125,1
300243,0.625,37.875,1
108839,29.625,71.125,1
108818,24.375,71.125,1
277159,-10.375,41.875,1
320459,14.625,34.375,1
148940,-25.125,64.125,1
303121,0.125,37.375,1
310462,35.375,36.125,1
324781,15.125,33.625,1
133249,12.125,66.875,1
